,cod_cidades,city,uf,atendido_loggi,distancia_cajamar,populacao,area_em_km2,tem_malha,latitude,longitude,indice_roubo,caminhao,caminhonete,camioneta,motocicleta,preco_gasolina,preco_diesel_s10,area_urbana,pib
0,3550308,SAO PAULO,SP,sim,0,12105804,1522.986,sim,-23.5329,-46.6395,0.9990112442385886,132024.0,495494.0,461970.0,954912.0,4.137,3.375666666666667,950.0,628064882.0
1,3518800,GUARULHOS,SP,não,21.495,1349158,318.014,sim,-23.4538,-46.5333,0.9990112442385886,20532.0,41455.0,29590.0,85801.0,4.393466666666667,3.5988974358974364,179.6,51389524.0
2,3509502,CAMPINAS,SP,sim,91.251,1182410,795.697,sim,-22.9053,-47.0659,0.9990112442385886,20407.0,63265.0,36622.0,115204.0,4.499,3.799,356.0,57673309.0
3,3548708,SAO BERNARDO DO CAMPO,SP,não,18.733,827379,406.18,não,-23.6914,-46.5646,0.9990112442385886,11528.0,33868.0,24599.0,72555.0,4.299,3.649,86.6,47551620.0
4,3547809,SANTO ANDRE,SP,não,20.571,715112,174.84,não,-23.6737,-46.5432,0.9990112442385886,8878.0,28032.0,24760.0,66385.0,4.393466666666667,3.5988974358974364,65.0,28119591.0
5,3549904,SAO JOSE DOS CAMPOS,SP,sim,89.383,703284,1099.613,não,-23.1896,-45.8841,0.9990112442385886,7104.0,28346.0,18638.0,55980.0,4.393466666666667,3.5988974358974364,258.0,30927050.0
6,3534401,OSASCO,SP,não,25.545,697743,64.935,não,-23.5324,-46.7916,0.9990112442385886,9932.0,26034.0,19678.0,61895.0,4.393466666666667,3.5988974358974364,61.0,58566199.0
7,3543402,RIBEIRAO PRETO,SP,sim,317.627,682408,650.366,sim,-21.1699,-47.8099,0.9990112442385886,11410.0,36216.0,21112.0,107647.0,4.393466666666667,3.5988974358974364,229.0,28087397.0
8,3552205,SOROCABA,SP,não,104.948,659961,449.122,não,-23.4969,-47.4451,0.9990112442385886,8121.0,31224.0,17765.0,79681.0,4.393466666666667,3.5988974358974364,206.0,32662452.0
9,3529401,MAUA,SP,não,26.415,462029,62.293,não,-23.6677,-46.4613,0.9990112442385886,4165.0,10550.0,8492.0,35335.0,4.393466666666667,3.5988974358974364,48.7,11329503.0
10,3549805,SAO JOSE DO RIO PRETO,SP,não,441.902,450671,431.307,sim,-20.8113,-49.3758,0.9990112442385886,8505.0,29319.0,13632.0,84805.0,4.393466666666667,3.5988974358974364,117.4,15802010.0
